content,label
"This file installs unknown software",1
"Executable tries to change system settings",1
"Suspicious script downloaded from random website",1
"Tool claims to hack social media accounts",1
"Archive contains cracked software and keygen",1
"File attempts to disable antivirus service",1
"Unknown program starts automatically on boot",1
"Document asks to enable macros to view content",1
"Script modifies registry startup entries",1
"Program silently connects to remote server",1
"Executable packed with high compression and obfuscation",1
"File drops another exe into temp folder",1
"Tool is used to bypass software license",1
"Script deletes log files from system",1
"Program tries to record keyboard input",1
"File masquerades as pdf but is actually exe",1
"Unknown extension tries to run as executable",1
"Downloader file fetches payload from url",1
"Script tries to escalate privileges",1
"Executable created from unknown email attachment",1
"Program modifies host file entries",1
"Tool scans network for open ports",1
"Script sends files to remote ip address",1
"Executable disables firewall rules",1
"File shows fake antivirus warning popup",1
"Script repeatedly encrypts local documents",1
"Program locks screen and demands payment",1
"Executable injects code into other process",1
"File with random name appears in system32 folder",1
"Script continuously creates new processes",1
"Unknown executable stored in recycle bin",1
"Program runs from temporary internet folder",1
"File was downloaded from untrusted torrent site",1
"Executable uses suspicious packer signature",1
"Script modifies browser proxy settings",1
"Program steals saved browser passwords",1
"File triggers antivirus heuristic alert",1
"Executable has no valid digital signature",1
"Script hides its window and runs in background",1
"Program opens hidden command shell",1
"Project documentation for college course",0
"Monthly sales report spreadsheet",0
"Family vacation photos backup",0
"Presentation for office meeting",0
"Resume file and cover letter",0
"List of grocery items and prices",0
"Notes from online programming class",0
"Source code for simple calculator app",0
"Lecture slides for digital forensics subject",0
"Sample dataset for machine learning project",0
"Invoice records and billing history",0
"Configuration file for text editor",0
"Local backup of whatsapp chat export",0
"Collection of research papers in pdf",0
"Simple html website template",0
"Readme file with installation instructions",0
"Screenshot images used in report",0
"Log file generated by clean application",0
"Plain text story written by user",0
"Audio recording of classroom lecture",0
"Clean software installer from official site",0
"Operating system update package",0
"Open source tool downloaded from github",0
"Student attendance sheet spreadsheet",0
"Time table for college examination",0
"Question bank for previous year papers",0
"Official circular from university",0
"Clean zip archive of project files",0
"Handwritten notes scanned as image",0
"Python script for data analysis assignment",0
"Database backup taken by administrator",0
"Safe pdf ebook from trusted library",0
"Clean log files for server monitoring",0
"Music files copied from original cd",0
"Official receipt in pdf format",0
"Clean powerpoint for seminar",0
"Contact list exported from phone",0
"Clean apk from play store backup",0
"Photos from college event",0
"Spreadsheet of monthly expenses",0
"Safe configuration backup file",0
"Clean compressed folder of documents",0
"Plain text todo list",0
"Student project report in docx format",0
"Executable launched from Downloads folder and tries to change registry startup entries",1
"Unknown file cracktool.exe executed from desktop",1
"PowerShell script with encoded command runs without user interaction",1
"Program attempts to disable Windows Defender real-time protection",1
"File connects to suspicious external IP address on port 4444",1
"Ransom note file created after multiple documents are renamed with random extensions",1
"Script deletes security logs from Event Viewer",1
"Executable injected code into explorer.exe process",1
"Program repeatedly opens and closes network connections to the same IP",1
"Installer downloaded from random website asks user to disable antivirus",1
"File running from AppData\Roaming with random filename pattern",1
"Macro-enabled Word document tries to download another executable",1
"Unknown process starts automatically even after reboot",1
"Archive from torrent site contains keygen.exe and crack.bat",1
"Executable tries to modify hosts file to block security websites",1
"Script runs hidden PowerShell window in the background",1
"Program enumerates all running processes and searches for antivirus name",1
"File attempts to read saved browser passwords",1
"Unknown EXE writes suspicious DLLs into system32 directory",1
"Tool performs rapid port scan on internal network",1
"Executable signed with invalid or unknown digital certificate",1
"File downloaded via phishing email attachment and executed",1
"Program continuously encrypts user documents in Documents folder",1
"Executable opens remote shell connection to external server",1
"Script creates hidden folder with system attribute set to true",1
"Program tries to stop firewall and security center services",1
"Binary packed with obfuscation and very high entropy",1
"Tool modifies registry key HKLM\Software\Microsoft\Windows\CurrentVersion\Run",1
"Executable logs keystrokes and sends them to remote IP",1
"Unknown process runs from Temp folder and deletes itself after execution",1
"Normal PDF document opened from college portal",0
"Student project report in DOCX format edited in MS Word",0
"PowerPoint presentation for classroom seminar",0
"Excel sheet with monthly expenses created by user",0
"Family vacation photos viewed in image viewer",0
"Legitimate installer downloaded from official vendor website",0
"Operating system update installed from trusted source",0
"Open-source tool cloned from official GitHub repository",0
"Video lecture file played in media player",0
"Text notes for exam preparation saved on desktop",0
"Backup of assignment folder copied to USB drive",0
"Clean ZIP archive containing college project files",0
"PDF ebook downloaded from university digital library",0
"Audio recording of classroom session",0
"Screenshot images captured for lab report",0
"Python script for data analysis assignment",0
"Configuration file for text editor stored in user profile",0
"Normal browser activity visiting search engine and university sites",0
"Teacher’s question paper PDF opened from email",0
"Simple HTML project opened in browser for testing",0
"Database backup file generated by legitimate backup tool",0
"Attendance sheet spreadsheet created by class representative",0
"Clean APK backup exported from Google Play Store device",0
"Log file generated by clean monitoring application",0
"Normal USB storage device safely ejected by user",0
"Student resume PDF uploaded to job portal",0
"Clean system restore point created by Windows",0
"User manually deletes old movies from Downloads folder",0
"Compressed archive of photos created for sharing",0
"Safe office template downloaded from trusted website",0
"Normal command prompt window opened to check IP configuration",0
"User opens Settings to change wallpaper and theme",0
S
